SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
P26AF2NG45910G93K,PASS,0,A1_golden,660851154.2,A1,0.5774,0.9087,1.2098,0.44,-0.0413,0.7799,58.1574,138.3347,271.1037,165.3729,190.627,104.4574
P26AF2NG45910G93K,PASS,0,A1_golden,660851211.4,A1,0.5774,0.9088,1.2096,0.44,-0.0382,0.7779,57.6309,138.1273,271.4859,165.4614,190.6394,104.0879
069F25GK1324P90NS,PASS,0,A1_golden,660851284.4,A1,0.5769,0.9108,1.2122,0.4393,-0.0405,0.7776,58.6213,139.1251,269.1161,166.5964,190.0703,103.2533
069F25GK1324P90NS,PASS,0,A1_golden,660851342.3,A1,0.5768,0.9109,1.2115,0.4393,-0.0224,0.7779,58.6624,139.2461,268.6319,166.1235,190.1198,103.9159
069F25GK1324P90NS,PASS,0,A1_golden,660851400.2,A1,0.5768,0.9106,1.2112,0.4393,-0.0267,0.7806,58.5014,139.2547,268.8103,166.2791,190.0827,103.5782
F32GPD9K34592N601,PASS,0,A1_golden,660851472.8,A1,0.5776,0.914,1.212,0.44,-0.036,0.7781,57.6805,139.3564,267.3833,165.3223,188.6724,102.9667
F32GPD9K34592N601,PASS,0,A1_golden,660851530.9,A1,0.5775,0.9133,1.2126,0.4399,-0.0333,0.7777,57.8592,139.0487,267.2049,165.0206,188.5981,102.6545
F32GPD9K34592N601,PASS,0,A1_golden,660851589.4,A1,0.5774,0.9135,1.2116,0.4399,-0.029,0.7797,58.1092,139.1829,267.052,164.9489,188.895,102.7628
N6GK451Q9P28320D9,PASS,0,A1_golden,660851662.4,A1,0.5767,0.9164,1.2112,0.4391,-0.0396,0.7792,60.5924,145.7824,273.2951,173.7981,191.6786,105.0307
N6GK451Q9P28320D9,PASS,0,A1_golden,660851719.8,A1,0.5766,0.9165,1.2088,0.439,-0.0364,0.7783,60.5443,145.8323,272.7345,173.7755,191.9384,104.9351
N6GK451Q9P28320D9,PASS,0,A1_golden,660851778.5,A1,0.5766,0.9162,1.2087,0.439,-0.0283,0.7784,60.8431,145.7362,272.9639,173.3187,191.8023,105.018
49K2NGD6296015S3P,PASS,0,A1_golden,660851851.5,A1,0.577,0.9164,1.2114,0.4392,-0.0248,0.7778,60.0067,143.9155,275.9962,171.1395,193.2002,106.1965
49K2NGD6296015S3P,PASS,0,A1_golden,660851909.5,A1,0.5769,0.9162,1.2117,0.4391,-0.0231,0.7788,60.1092,143.8834,275.9453,170.8212,193.5219,106.1392
49K2NGD6296015S3P,PASS,0,A1_golden,660851967,A1,0.5769,0.916,1.2113,0.4391,-0.0346,0.7782,59.9457,143.9864,275.7414,171.2633,193.3363,106.1073
24NG1PKDG96302G59,PASS,0,A1_golden,660852040.7,A1,0.5771,0.9168,1.2221,0.4394,-0.0273,0.7806,61.4558,148.4055,288.2531,177.4225,200.8208,110.8661
24NG1PKDG96302G59,PASS,0,A1_golden,660852098.5,A1,0.577,0.9165,1.2204,0.4394,-0.0399,0.7776,61.8372,148.4116,288.2531,177.0229,201.1301,110.7068
24NG1PKDG96302G59,PASS,0,A1_golden,660852156.6,A1,0.577,0.9165,1.2209,0.4394,-0.0463,0.7778,61.5053,148.2825,288.2786,176.8684,201.0806,110.7705
2590539N2D6P9K4G1,PASS,0,A1_golden,660852229.6,A1,0.5773,0.9213,1.221,0.4398,-0.0345,0.7774,59.9509,143.854,284.176,171.9326,198.1116,108.4835
2590539N2D6P9K4G1,PASS,0,A1_golden,660852288.1,A1,0.5773,0.9215,1.2207,0.4398,-0.0343,0.7769,59.5891,144.1126,283.7428,171.8167,198.1116,108.5663
2590539N2D6P9K4G1,PASS,0,A1_golden,660852346,A1,0.5772,0.9213,1.2229,0.4398,-0.0368,0.7783,60.0667,144.2034,284.125,172.2879,197.8889,108.9422
61GP994F02KCE532N,PASS,0,A1_golden,660852420,A1,0.5776,0.9085,1.2114,0.44,-0.0306,0.7785,58.9495,140.8687,267.791,169.6238,189.3775,103.2597
61GP994F02KCE532N,PASS,0,A1_golden,660852478.2,A1,0.5774,0.9083,1.2112,0.4399,-0.0327,0.7786,58.9077,141.1363,266.9501,168.9936,189.3157,103.3234
61GP994F02KCE532N,PASS,0,A1_golden,660852536.3,A1,0.5774,0.9082,1.2094,0.4399,-0.0456,0.7782,59.035,140.9738,266.9756,168.8174,189.2167,103.6419
92B9G24FKF16035NP,PASS,0,A1_golden,660852609.8,A1,0.5775,0.9083,1.2125,0.44,-0.0436,0.7777,58.6351,140.0362,274.1615,168.8717,192.3095,105.7315
92B9G24FKF16035NP,PASS,0,A1_golden,660852667.3,A1,0.5774,0.9081,1.2123,0.4399,-0.0346,0.7793,59.0148,140.3704,273.9832,168.2316,192.4208,105.7633
92B9G24FKF16035NP,PASS,0,A1_golden,660852725.1,A1,0.5774,0.9081,1.2125,0.4399,-0.0322,0.7774,58.9257,140.3146,273.8303,168.7875,192.7301,105.7888
699F5K041DNDPG322,PASS,0,A1_golden,660852798.8,A1,0.577,0.9076,1.209,0.4396,-0.031,0.7791,58.7906,139.6566,270.7215,167.2259,190.4786,104.2408
699F5K041DNDPG322,PASS,0,A1_golden,660852857.6,A1,0.5769,0.9074,1.213,0.4396,-0.0293,0.7781,58.0704,139.4612,270.7979,167.0246,190.194,104.279
699F5K041DNDPG322,PASS,0,A1_golden,660852916.2,A1,0.5769,0.9071,1.2105,0.4395,-0.0428,0.7774,58.3586,139.2249,270.9253,166.8746,190.2311,104.1261
G243Y2105NKUAPE96,PASS,0,A1_golden,660852991.2,A1,0.5791,0.9096,1.2123,0.4414,-0.0235,0.7782,60.0804,144.4454,274.7476,171.8947,193.6703,106.0946
G243Y2105NKUAPE96,PASS,0,A1_golden,660853049.4,A1,0.579,0.9093,1.2103,0.4413,-0.0376,0.7787,60.3661,144.1572,274.875,171.8966,193.992,106.2984
G243Y2105NKUAPE96,PASS,0,A1_golden,660853107.8,A1,0.5789,0.9091,1.2087,0.4413,-0.0332,0.778,59.8592,144.0591,274.7476,171.873,193.6827,105.9481
FXAN0153KP4622GW9,PASS,0,A1_golden,660853181,A1,0.5762,0.9063,1.2201,0.4384,-0.0277,0.7794,60.1072,143.8927,287.9473,172.7612,201.1054,110.6495
FXAN0153KP4622GW9,PASS,0,A1_golden,660853238.7,A1,0.576,0.906,1.2202,0.4383,-0.0274,0.7793,60.2888,143.6928,287.5906,172.8337,201.4889,110.847
FXAN0153KP4622GW9,PASS,0,A1_golden,660853296.7,A1,0.576,0.9067,1.2201,0.4383,-0.0239,0.7774,59.9366,143.7261,287.4886,172.4456,201.1301,111.0827
9614G320P6NK9X256,PASS,0,A1_golden,660853370,A1,0.5773,0.9112,1.2123,0.4397,-0.0419,0.779,59.0658,142.0475,272.0465,169.2893,190.0332,103.9796
9614G320P6NK9X256,PASS,0,A1_golden,660853427.7,A1,0.5772,0.9111,1.2124,0.4396,-0.0275,0.7782,59.3812,141.8149,272.0465,168.8274,190.3425,104.1325
9614G320P6NK9X256,PASS,0,A1_golden,660853486.2,A1,0.5772,0.911,1.2122,0.4396,-0.0444,0.7779,59.2474,141.8377,271.9701,169.4382,190.0332,104.1452
3G9NAN06D4P129K52,PASS,0,A1_golden,660853558.1,A1,0.5771,0.916,1.2181,0.4395,-0.0354,0.7775,60.6683,145.716,279.4873,173.8845,197.0971,107.9484
3G9NAN06D4P129K52,PASS,0,A1_golden,660853616.4,A1,0.5769,0.9161,1.219,0.4394,-0.0284,0.7788,60.6091,145.6566,279.3599,174.035,196.7878,107.8911
3G9NAN06D4P129K52,PASS,0,A1_golden,660853675,A1,0.5769,0.9158,1.2194,0.4394,-0.0302,0.7778,60.9141,145.6822,279.7421,174.4114,197.0724,107.9484
2KN4215P3G0GGA6Q9,PASS,0,A1_golden,660853748,A1,0.5758,0.9052,1.2178,0.4384,-0.0346,0.7777,59.3768,142.2881,282.5196,170.6353,198.4703,109.0059
2KN4215P3G0GGA6Q9,PASS,0,A1_golden,660853806.2,A1,0.5757,0.9052,1.2175,0.4383,-0.0375,0.7788,59.3334,142.5175,283.1057,171.6978,198.1858,108.6237
2KN4215P3G0GGA6Q9,PASS,0,A1_golden,660853864,A1,0.5756,0.905,1.2178,0.4383,-0.0353,0.7769,59.4249,142.4048,282.7745,170.4286,198.2971,108.9804
9PG24F9K0653N91H2,PASS,0,A1_golden,660853937.2,A1,0.5772,0.9086,1.2121,0.4396,-0.0193,0.779,58.6384,140.0722,271.6388,167.2338,190.9487,104.8969
9PG24F9K0653N91H2,PASS,0,A1_golden,660853995.6,A1,0.5771,0.9082,1.2097,0.4396,-0.0331,0.7798,58.8255,139.8752,271.7407,167.4014,191.159,104.744
9PG24F9K0653N91H2,PASS,0,A1_golden,660854053.5,A1,0.5771,0.908,1.2126,0.4395,-0.0436,0.7774,58.4512,139.9102,271.7917,166.9424,191.0847,104.7185
G6RK9E4N95P242130,PASS,0,A1_golden,660854126.4,A1,0.5766,0.9119,1.2124,0.4391,-0.0307,0.7781,59.1348,142.0014,277.0665,169.3353,194.227,106.3749
G6RK9E4N95P242130,PASS,0,A1_golden,660854184.2,A1,0.5764,0.9121,1.2124,0.4391,-0.0422,0.7771,59.5972,142.3262,277.5506,169.9463,194.3755,106.5533
G6RK9E4N95P242130,PASS,0,A1_golden,660854242.8,A1,0.5764,0.9118,1.2103,0.4391,-0.0357,0.7787,59.1726,142.1201,276.6333,169.6147,194.1652,106.5023
3240KPF652NE9G1E9,PASS,0,A1_golden,660854315.5,A1,0.5767,0.912,1.2083,0.4392,-0.0416,0.781,59.6655,143.7077,278.6973,171.5903,195.2662,107.133
3240KPF652NE9G1E9,PASS,0,A1_golden,660854373.8,A1,0.5766,0.9117,1.2109,0.4391,-0.0416,0.7775,60.0471,143.1244,278.6464,171.9851,195.6744,106.8973
3240KPF652NE9G1E9,PASS,0,A1_golden,660854431.7,A1,0.5766,0.912,1.2101,0.4391,-0.0344,0.7796,59.7132,143.4852,279.1051,172.1244,195.4765,107.2795
V502G6KD4312YP9AN,PASS,0,A1_golden,660854504.2,A1,0.5778,0.9092,1.2114,0.4401,-0.032,0.7774,60.3751,144.9256,276.8881,172.8747,195.0188,106.7762
V502G6KD4312YP9AN,PASS,0,A1_golden,660854562.1,A1,0.5777,0.9089,1.2115,0.44,-0.043,0.7758,60.4514,144.9066,277.1174,172.9322,195.0683,106.8272
V502G6KD4312YP9AN,PASS,0,A1_golden,660854619.9,A1,0.5776,0.9088,1.2112,0.44,-0.0333,0.7773,60.7228,144.8315,277.1684,172.9394,195.2291,107.1202
5K19AN32G62Y4RHP0,PASS,0,A1_golden,660854692.4,A1,0.5785,0.911,1.212,0.4407,-0.0347,0.7779,60.0051,143.2509,278.1877,171.4941,194.4744,107.2859
5K19AN32G62Y4RHP0,PASS,0,A1_golden,660854750.1,A1,0.5784,0.9108,1.2118,0.4406,-0.0323,0.7779,59.8857,143.5434,278.0858,171.3534,194.6971,107.3559
5K19AN32G62Y4RHP0,PASS,0,A1_golden,660854808.7,A1,0.5783,0.9109,1.2111,0.4406,-0.0235,0.7794,59.5995,143.6897,278.2132,171.8584,194.5487,107.4005
7G4P99565KX01N322,PASS,0,A1_golden,660854883.5,A1,0.5774,0.911,1.2116,0.4397,-0.0286,0.7772,59.6816,143.5696,278.2132,171.3385,194.0414,106.4386
7G4P99565KX01N322,PASS,0,A1_golden,660854941.7,A1,0.5772,0.9109,1.2116,0.4396,-0.0459,0.7786,59.6169,143.5306,278.4935,171.2191,193.9177,106.5087
7G4P99565KX01N322,PASS,0,A1_golden,660855000.3,A1,0.5772,0.9106,1.2113,0.4396,-0.0338,0.7766,59.67,143.9034,278.2896,171.2685,193.7074,106.4704
XH549N2P026AGKW13,PASS,0,A1_golden,660855073.3,A1,0.5774,0.908,1.2116,0.4403,-0.0376,0.7796,60.2563,144.8469,279.2834,173.1253,195.5878,107.6426
XH549N2P026AGKW13,PASS,0,A1_golden,660855131.4,A1,0.5773,0.908,1.2118,0.4402,-0.0243,0.7799,60.2049,144.5962,279.6911,173.1196,195.427,107.8019
XH549N2P026AGKW13,PASS,0,A1_golden,660855189.7,A1,0.5773,0.9079,1.2119,0.4402,-0.0431,0.7792,60.111,144.8939,279.5382,173.4859,195.3528,107.8019
N6G02R915F249KP13,PASS,0,A1_golden,660855263.2,A1,0.5766,0.9098,1.2124,0.4392,-0.0388,0.7788,58.5981,139.8984,270.3137,166.2289,190.528,104.2599
N6G02R915F249KP13,PASS,0,A1_golden,660855320.9,A1,0.5765,0.9099,1.2124,0.4392,-0.0312,0.7773,58.5337,139.554,270.1354,166.447,190.8497,104.3936
N6G02R915F249KP13,PASS,0,A1_golden,660855378.8,A1,0.5765,0.9098,1.2129,0.4392,-0.0288,0.7781,58.5011,139.7987,270.1608,165.9978,190.4291,104.4765
9E5G223K4N0216PT9,PASS,0,A1_golden,660855451.5,A1,0.5765,0.9115,1.2105,0.4391,-0.0336,0.7775,59.4102,141.7432,277.5761,169.6494,194.8579,106.687
9E5G223K4N0216PT9,PASS,0,A1_golden,660855509.7,A1,0.5764,0.9114,1.2115,0.4391,-0.0311,0.779,59.5267,142.066,277.0665,169.2803,194.8827,107.3368
9E5G223K4N0216PT9,PASS,0,A1_golden,660855567.5,A1,0.5764,0.9114,1.2111,0.4391,-0.0409,0.7795,59.1389,142.1406,277.4232,169.5039,194.7713,106.91
55EK2299N136Q0GP4,PASS,0,A1_golden,660855640.6,A1,0.5767,0.9127,1.2083,0.4392,-0.0342,0.7787,59.8995,142.8945,280.6085,171.5848,196.7136,107.7828
55EK2299N136Q0GP4,PASS,0,A1_golden,660855698.8,A1,0.5766,0.9126,1.2121,0.4391,-0.0319,0.7786,60.2287,142.9025,280.8633,171.6927,196.7631,107.8401
55EK2299N136Q0GP4,PASS,0,A1_golden,660855757.3,A1,0.5765,0.9125,1.2123,0.4391,-0.0303,0.7781,60.0562,143.0561,280.532,171.5326,197.0105,107.9038
P9G98NEM32250164K,PASS,0,A1_golden,660855830.1,A1,0.5765,0.9112,1.2094,0.439,-0.0329,0.7784,59.509,142.8436,278.2387,170.7361,194.8579,106.8718
P9G98NEM32250164K,PASS,0,A1_golden,660855888.2,A1,0.5764,0.9109,1.2116,0.439,-0.0272,0.7785,59.4369,142.772,277.78,170.5861,194.6724,107.0247
P9G98NEM32250164K,PASS,0,A1_golden,660855946.5,A1,0.5763,0.9112,1.2116,0.4389,-0.026,0.779,59.8175,142.8016,277.9329,170.5176,195.1672,106.8527
W1023P4K2C59YGN6A,PASS,0,A1_golden,660856019.5,A1,0.5771,0.909,1.2114,0.4395,-0.037,0.7792,59.7363,144.359,278.4935,171.7201,195.0435,107.3368
W1023P4K2C59YGN6A,PASS,0,A1_golden,660856078.4,A1,0.577,0.9084,1.2117,0.4395,-0.0301,0.7765,60.5282,144.5251,278.7228,172.1097,195.328,107.3432
W1023P4K2C59YGN6A,PASS,0,A1_golden,660856136.4,A1,0.577,0.9084,1.2116,0.4394,-0.0299,0.7777,59.9168,144.4179,278.9012,171.7653,195.1054,107.3878
S3Y5K469PAG2NG120,PASS,0,A1_golden,660856210.2,A1,0.5796,0.9097,1.2117,0.4417,-0.0333,0.7783,59.627,142.9919,274.8495,171.3253,194.2146,106.4195
S3Y5K469PAG2NG120,PASS,0,A1_golden,660856268.3,A1,0.5794,0.9098,1.2117,0.4416,-0.0258,0.7795,59.8418,143.1341,274.7476,170.3346,194.326,106.7189
S3Y5K469PAG2NG120,PASS,0,A1_golden,660856326.6,A1,0.5794,0.9096,1.2079,0.4416,-0.0382,0.7792,59.9211,142.9448,275.3847,171.0175,194.2889,106.3876
4L1N6230YG5KPN2A9,PASS,0,A1_golden,660856399.4,A1,0.5774,0.9114,1.2093,0.4396,-0.029,0.7786,59.6056,142.8833,277.6271,170.2562,194.8456,107.0438
4L1N6230YG5KPN2A9,PASS,0,A1_golden,660856457.2,A1,0.5772,0.9112,1.2115,0.4395,-0.0369,0.7783,59.482,142.8654,277.9838,170.0423,194.4868,107.031
4L1N6230YG5KPN2A9,PASS,0,A1_golden,660856515,A1,0.5772,0.9117,1.2085,0.4395,-0.0245,0.7784,59.4789,142.9397,277.6526,169.7873,194.4126,106.9291
991HD6GK0425N32PF,PASS,0,A1_golden,660856588.2,A1,0.577,0.9159,1.2197,0.4393,-0.0295,0.7789,61.4551,146.6957,283.9721,175.1092,199.4229,109.5028
991HD6GK0425N32PF,PASS,0,A1_golden,660856646.5,A1,0.5769,0.9158,1.2193,0.4393,-0.0357,0.778,61.3685,146.9438,284.176,175.0947,198.9404,109.5538
991HD6GK0425N32PF,PASS,0,A1_golden,660856704.9,A1,0.5769,0.9155,1.2181,0.4392,-0.0286,0.7771,61.0726,146.674,284.3034,175.4305,199.0765,109.4009
F432PN12KQ50G2699,PASS,0,A1_golden,660856780.8,A1,0.5767,0.9098,1.2121,0.4392,-0.0473,0.7789,58.5001,139.4222,267.74,166.6484,189.3528,102.9667
F432PN12KQ50G2699,PASS,0,A1_golden,660856839.1,A1,0.5765,0.9106,1.2094,0.4392,-0.036,0.7792,58.3254,139.5635,267.3578,165.9312,189.328,103.489
F432PN12KQ50G2699,PASS,0,A1_golden,660856896.5,A1,0.5765,0.9105,1.2088,0.4391,-0.0329,0.7783,58.5376,139.0986,267.2559,165.8094,189.4765,103.3298
K6320G9452PN1N4F9,PASS,0,A1_golden,660856969.6,A1,0.5769,0.91,1.2094,0.4394,-0.0203,0.7778,58.4696,140.2089,273.6009,167.6919,192.5569,105.9735
K6320G9452PN1N4F9,PASS,0,A1_golden,660857027.2,A1,0.5767,0.9101,1.2091,0.4393,-0.0237,0.7789,59.0495,140.1889,273.8557,167.5033,193.1136,105.8652
K6320G9452PN1N4F9,PASS,0,A1_golden,660857085.4,A1,0.5767,0.9103,1.2107,0.4393,-0.0335,0.778,58.417,140.2585,273.448,167.4886,192.7054,105.8143
N19305962NEGPK742,PASS,0,A1_golden,660857158.3,A1,0.5764,0.9123,1.2092,0.439,-0.0242,0.7774,59.494,142.6935,279.7166,169.1805,196.0579,107.4706
N19305962NEGPK742,PASS,0,A1_golden,660857216.3,A1,0.5763,0.9134,1.2085,0.439,-0.0078,0.7783,59.6111,142.871,280.1498,169.7971,196.2806,107.477
N19305962NEGPK742,PASS,0,A1_golden,660857274.2,A1,0.5762,0.9124,1.2077,0.4389,-0.0355,0.7782,59.2894,142.8483,280.1243,169.4804,196.1817,107.5025
95491PK3A06E2NG2K,PASS,0,A1_golden,660857347.8,A1,0.5765,0.9126,1.2069,0.439,-0.0321,0.779,59.954,144.5319,275.7924,172.8829,193.4971,105.7378
95491PK3A06E2NG2K,PASS,0,A1_golden,660857405.8,A1,0.5764,0.9121,1.2066,0.439,-0.0227,0.7777,60.3552,144.7818,275.6395,172.9406,193.8311,105.8971
95491PK3A06E2NG2K,PASS,0,A1_golden,660857464.1,A1,0.5763,0.9119,1.2066,0.4389,-0.0409,0.7782,60.022,144.8513,275.7924,172.9415,193.7322,105.776
GP01526YB9NAX34K2,PASS,0,A1_golden,660857537.7,A1,0.5768,0.9101,1.2072,0.4392,-0.0331,0.7774,59.5945,143.5935,281.3984,170.7978,196.825,108.4899
GP01526YB9NAX34K2,PASS,0,A1_golden,660857595.7,A1,0.5767,0.9092,1.2068,0.4392,-0.0218,0.7798,59.4123,143.7593,281.4239,170.6206,196.6146,108.4644
GP01526YB9NAX34K2,PASS,0,A1_golden,660857654.3,A1,0.5767,0.9091,1.2069,0.4391,-0.0333,0.7784,59.6494,143.8232,281.6787,171.4745,196.6146,108.388
3K601922AF4PN5GTY,PASS,0,A1_golden,660857726.8,A1,0.5801,0.9095,1.2094,0.4422,-0.04,0.7779,59.7427,141.8453,278.5699,170.0789,195.3899,107.3814
3K601922AF4PN5GTY,PASS,0,A1_golden,660857784.9,A1,0.58,0.9097,1.2107,0.4422,-0.0298,0.779,59.785,142.0603,278.6464,170.4997,194.8951,107.6362
3K601922AF4PN5GTY,PASS,0,A1_golden,660857843.2,A1,0.58,0.9093,1.2121,0.4421,-0.0317,0.7777,59.6154,141.9196,278.7483,170.0258,194.8332,107.5025
6E32942K1DJ59G0PN,PASS,0,A1_golden,660857916.1,A1,0.577,0.9166,1.2163,0.4393,-0.0333,0.7782,60.531,145.2856,288.8902,172.7505,201.8848,111.2547
6E32942K1DJ59G0PN,PASS,0,A1_golden,660857974.3,A1,0.5768,0.9161,1.2165,0.4392,-0.0246,0.7777,60.6251,145.0945,288.8137,172.6946,202.1693,111.3375
6E32942K1DJ59G0PN,PASS,0,A1_golden,660858031.7,A1,0.5768,0.9163,1.2187,0.4392,-0.0121,0.7793,60.2069,145.2428,288.355,172.5528,202.2188,111.1719
02993KP524NF16PG3,PASS,0,A1_golden,660858105.5,A1,0.5769,0.9092,1.2127,0.4394,-0.0419,0.7783,58.7201,139.7243,270.008,166.7702,190.7383,104.2981
02993KP524NF16PG3,PASS,0,A1_golden,660858164.7,A1,0.5767,0.909,1.2085,0.4393,-0.0298,0.7785,58.5326,139.5919,270.3647,167.1396,190.726,104.177
02993KP524NF16PG3,PASS,0,A1_golden,660858222.4,A1,0.5767,0.9087,1.2116,0.4393,-0.0349,0.7795,58.9655,139.8707,270.3392,167.6811,190.8868,104.177
FPG2NK6945590231M,PASS,0,A1_golden,660858295.1,A1,0.5767,0.9083,1.2086,0.4394,-0.0351,0.7791,58.1558,137.3065,267.103,164.6447,189.3033,103.1387
FPG2NK6945590231M,PASS,0,A1_golden,660858353.1,A1,0.5766,0.9083,1.2084,0.4394,-0.0378,0.7792,57.9859,137.6047,267.3578,164.7724,189.0188,103.4381
FPG2NK6945590231M,PASS,0,A1_golden,660858411.3,A1,0.5766,0.9083,1.2088,0.4393,-0.0349,0.778,58.2601,137.3211,267.2559,164.8298,189.1796,103.3234
209PK629F8514NJ3G,PASS,0,A1_golden,660858484.2,A1,0.5772,0.9087,1.2084,0.4396,-0.0443,0.7775,58.4117,139.0344,267.9184,165.9549,189.6497,103.5464
209PK629F8514NJ3G,PASS,0,A1_golden,660858542.6,A1,0.577,0.9087,1.2092,0.4395,-0.0373,0.7774,58.2951,139.1601,268.3771,165.9336,189.3528,103.4062
209PK629F8514NJ3G,PASS,0,A1_golden,660858600.3,A1,0.577,0.9087,1.212,0.4395,-0.0291,0.7786,58.2321,138.7773,268.0713,165.7979,189.526,103.419
PN132E4962B05GKJ9,PASS,0,A1_golden,660858675.1,A1,0.5762,0.9126,1.211,0.4389,-0.0307,0.7783,59.3732,143.0516,284.3289,170.3383,197.7528,108.6937
PN132E4962B05GKJ9,PASS,0,A1_golden,660858732.5,A1,0.576,0.9126,1.2114,0.4388,-0.0417,0.7803,59.9154,143.2716,284.5072,170.6622,197.7528,108.974
PN132E4962B05GKJ9,PASS,0,A1_golden,660858791.3,A1,0.576,0.9123,1.2082,0.4388,-0.0337,0.7784,59.3017,143.0564,284.3034,170.3804,197.5672,108.8976
NY10A9P7425K62G31,PASS,0,A1_golden,660858864.5,A1,0.5763,0.9097,1.212,0.4386,-0.033,0.7776,60.5212,146.256,280.5066,174.3461,196.5528,108.165
NY10A9P7425K62G31,PASS,0,A1_golden,660858922.3,A1,0.5762,0.9095,1.2109,0.4386,-0.029,0.7784,60.6665,146.0575,280.9652,174.2338,196.7012,108.3306
NY10A9P7425K62G31,PASS,0,A1_golden,660858979.5,A1,0.5762,0.9094,1.2115,0.4385,-0.0394,0.7782,61.0312,146.1788,281.0162,174.5884,196.9363,108.2797
NP23145D9GM0K629B,PASS,0,A1_golden,660859052.5,A1,0.5774,0.915,1.2203,0.4395,-0.0413,0.7773,60.9231,146.8102,285.1443,174.6396,200.0538,109.8787
NP23145D9GM0K629B,PASS,0,A1_golden,660859109.7,A1,0.5772,0.9148,1.2203,0.4395,-0.0394,0.7792,60.9203,147.0541,285.1698,174.3463,200.0415,109.9424
NP23145D9GM0K629B,PASS,0,A1_golden,660859167.2,A1,0.5772,0.9149,1.2204,0.4394,-0.0362,0.7784,61.0983,146.4972,285.0424,174.5696,200.1281,109.9615
ZCG5AN90XP3614K22,PASS,0,A1_golden,660859240.5,A1,0.5764,0.908,1.2116,0.4385,-0.0422,0.7777,60.7892,146.3595,274.3909,174.9337,192.6559,105.706
ZCG5AN90XP3614K22,PASS,0,A1_golden,660859298.7,A1,0.5763,0.9079,1.2116,0.4385,-0.0266,0.7776,61.298,146.2702,274.1106,174.5917,193.0146,105.9672
ZCG5AN90XP3614K22,PASS,0,A1_golden,660859356.6,A1,0.5763,0.9078,1.2115,0.4384,-0.0379,0.7779,61.1004,146.2996,274.9005,174.8993,193.1012,105.9035
5GAK2P4XV0132N69G,PASS,0,A1_golden,660859430.1,A1,0.5761,0.9075,1.2118,0.4384,-0.0365,0.7798,61.4168,147.2366,280.4556,176.9947,196.2806,108.1841
5GAK2P4XV0132N69G,PASS,0,A1_golden,660859488.1,A1,0.576,0.9074,1.2087,0.4384,-0.0406,0.7787,60.9106,147.6884,280.0989,176.9192,196.0951,108.216
5GAK2P4XV0132N69G,PASS,0,A1_golden,660859546.1,A1,0.576,0.9071,1.2099,0.4383,-0.0435,0.7783,60.8931,146.9895,280.1498,177.1573,196.0456,108.1777
369E41G025P9NKGD2,PASS,0,A1_golden,660859619,A1,0.5763,0.9108,1.2114,0.4391,-0.0293,0.7788,59.4087,143.5289,283.9466,170.0198,198.3342,108.7447
369E41G025P9NKGD2,PASS,0,A1_golden,660859676.7,A1,0.5762,0.9106,1.208,0.4391,-0.0317,0.7785,58.9602,143.3122,283.9976,169.9795,198.3466,109.0951
369E41G025P9NKGD2,PASS,0,A1_golden,660859734.5,A1,0.5762,0.9105,1.2101,0.4391,-0.0369,0.7783,59.7903,143.6182,284.176,170.309,198.359,108.8594
9L9350C12KNP2G6F4,PASS,0,A1_golden,660859808.6,A1,0.5768,0.9113,1.2111,0.4395,-0.0302,0.7777,61.2387,146.366,290.0369,176.2653,202.1445,110.9107
9L9350C12KNP2G6F4,PASS,0,A1_golden,660859866.3,A1,0.5767,0.9111,1.2111,0.4394,-0.0305,0.7768,61.313,146.6957,289.4253,175.5227,202.1074,111.1337
9L9350C12KNP2G6F4,PASS,0,A1_golden,660859924.2,A1,0.5766,0.9112,1.2082,0.4394,-0.0349,0.7785,61.2996,146.8092,289.3998,175.9185,202.0951,111.1591
3XN13294X0G59K6P2,PASS,0,A1_golden,660859997.3,A1,0.5764,0.9152,1.2131,0.4388,-0.0292,0.7809,60.1425,144.3985,271.4859,171.7674,190.8621,104.572
3XN13294X0G59K6P2,PASS,0,A1_golden,660860055,A1,0.5763,0.9148,1.213,0.4387,-0.0383,0.7793,59.8847,144.3974,271.384,171.096,191.0847,104.6485
3XN13294X0G59K6P2,PASS,0,A1_golden,660860113,A1,0.5762,0.9149,1.2127,0.4387,-0.0169,0.779,60.0812,144.315,271.2311,170.7509,190.9363,104.4446
VK30P2DA429514N6G,PASS,0,A1_golden,660860185.9,A1,0.5784,0.9066,1.2114,0.4408,-0.033,0.778,59.4919,140.7522,275.4356,169.5563,194.0786,106.1838
VK30P2DA429514N6G,PASS,0,A1_golden,660860244.1,A1,0.5782,0.9066,1.2122,0.4407,-0.0398,0.7788,59.2425,140.5058,275.4356,169.2667,193.7445,106.3048
